agg_name,xx,yy
Anasimyia contracta,187.60,206.10
Anasimyia contracta,232.00,637.00
Anasimyia contracta,232.70,637.10
Anasimyia contracta,235.00,658.00
Anasimyia contracta,239.00,389.00
Anasimyia contracta,239.20,388.90
Anasimyia contracta,239.40,389.00
Anasimyia contracta,240.00,365.00
Anasimyia contracta,241.10,365.90
Anasimyia contracta,242.40,364.70
Anasimyia contracta,243.00,369.00
Anasimyia contracta,244.00,371.00
Anasimyia contracta,245.70,200.90
Anasimyia contracta,251.00,198.00
Anasimyia contracta,255.30,198.90
Anasimyia contracta,255.40,198.90
Anasimyia contracta,268.00,194.00
Anasimyia contracta,269.00,194.00
Anasimyia contracta,274.00,655.00
Anasimyia contracta,283.00,75.00
Anasimyia contracta,283.30,75.00
Anasimyia contracta,328.00,182.00
Anasimyia contracta,330.10,181.70
Anasimyia contracta,334.00,242.00
Anasimyia contracta,334.40,243.00
Anasimyia contracta,334.50,242.70
Anasimyia contracta,335.70,183.20
Anasimyia contracta,340.30,127.60
Anasimyia contracta,342.00,414.00
Anasimyia contracta,342.80,140.80
Anasimyia contracta,344.50,144.50
Anasimyia contracta,345.30,144.40
Anasimyia contracta,347.40,476.40
Anasimyia contracta,347.80,217.30
Anasimyia contracta,360.50,368.60
Anasimyia contracta,365.10,372.20
Anasimyia contracta,371.30,226.90
Anasimyia contracta,374.00,215.00
Anasimyia contracta,374.00,216.00
Anasimyia contracta,379.14,382.71
Anasimyia contracta,380.76,382.10
Anasimyia contracta,388.00,227.00
Anasimyia contracta,390.50,396.00
Anasimyia contracta,392.00,339.00
Anasimyia contracta,393.10,287.10
Anasimyia contracta,393.20,287.20
Anasimyia contracta,393.60,287.00
Anasimyia contracta,394.10,408.00
Anasimyia contracta,402.80,294.60
Anasimyia contracta,403.00,121.00
Anasimyia contracta,406.00,102.20
Anasimyia contracta,410.00,274.00
Anasimyia contracta,418.20,545.80
Anasimyia contracta,420.00,293.00
Anasimyia contracta,436.00,113.00
Anasimyia contracta,439.00,355.00
Anasimyia contracta,439.10,355.10
Anasimyia contracta,442.00,387.00
Anasimyia contracta,442.90,351.50
Anasimyia contracta,443.80,377.50
Anasimyia contracta,444.00,381.00
Anasimyia contracta,444.10,381.70
Anasimyia contracta,444.70,381.50
Anasimyia contracta,445.90,371.10
Anasimyia contracta,447.00,376.00
Anasimyia contracta,447.00,380.00
Anasimyia contracta,450.30,483.20
Anasimyia contracta,456.00,379.00
Anasimyia contracta,465.00,469.00
Anasimyia contracta,471.00,444.00
Anasimyia contracta,472.50,404.20
Anasimyia contracta,474.00,403.80
Anasimyia contracta,474.30,289.60
Anasimyia contracta,475.00,415.00
Anasimyia contracta,483.00,255.00
Anasimyia contracta,491.30,403.50
Anasimyia contracta,498.00,153.00
Anasimyia contracta,502.00,115.00
Anasimyia contracta,502.00,339.00
Anasimyia contracta,505.40,298.40
Anasimyia contracta,509.50,298.00
Anasimyia contracta,519.00,262.00
Anasimyia contracta,519.00,263.00
Anasimyia contracta,519.60,263.10
Anasimyia contracta,519.60,359.50
Anasimyia contracta,520.60,141.20
Anasimyia contracta,520.70,129.90
Anasimyia contracta,521.00,188.00
Anasimyia contracta,526.30,141.70
Anasimyia contracta,526.90,167.90
Anasimyia contracta,529.00,165.00
Anasimyia contracta,530.90,299.10
Anasimyia contracta,541.00,196.00
Anasimyia contracta,548.00,180.00
Anasimyia contracta,549.20,215.80
Anasimyia contracta,553.00,184.00
Anasimyia contracta,555.50,269.80
Anasimyia contracta,555.70,269.50
Anasimyia contracta,555.90,269.70
Anasimyia contracta,567.00,189.00
Anasimyia contracta,568.00,133.00
Anasimyia contracta,590.00,288.00
Anasimyia contracta,591.00,165.00
Anasimyia contracta,591.00,169.00
Anasimyia contracta,592.00,119.00
Anasimyia contracta,592.00,171.60
Anasimyia contracta,593.00,296.00
Anasimyia contracta,593.10,119.30
Anasimyia contracta,593.80,296.60
Anasimyia contracta,612.00,240.00
Anasimyia contracta,618.60,160.60
Anasimyia contracta,630.00,250.00
Anasimyia contracta,632.60,306.70
Anasimyia contracta,636.00,321.00
Anasimyia contracta,637.00,320.00
Anasimyia contracta,639.60,291.70
Anasimyia contracta,640.00,318.00
Anasimyia contracta,644.50,313.00
Anasimyia contracta,645.00,263.00
Anasimyia interpuncta,488.00,275.00
Anasimyia interpuncta,512.00,296.00
Anasimyia interpuncta,521.00,269.00
Anasimyia interpuncta,548.00,180.00
Anasimyia interpuncta,554.80,269.80
Anasimyia interpuncta,555.00,270.00
Anasimyia interpuncta,555.50,269.80
Anasimyia interpuncta,555.60,269.50
Anasimyia interpuncta,593.80,296.60
Anasimyia interpuncta,630.80,307.10
Anasimyia interpuncta,634.20,306.50
Anasimyia interpuncta,634.50,305.30
Anasimyia lineata,74.60,814.70
Anasimyia lineata,225.80,338.30
Anasimyia lineata,232.00,637.00
Anasimyia lineata,232.80,335.10
Anasimyia lineata,235.00,494.00
Anasimyia lineata,235.00,495.00
Anasimyia lineata,235.70,495.10
Anasimyia lineata,236.00,669.00
Anasimyia lineata,237.40,388.90
Anasimyia lineata,239.20,388.90
Anasimyia lineata,239.40,389.00
Anasimyia lineata,240.00,365.00
Anasimyia lineata,241.10,365.90
Anasimyia lineata,245.50,348.30
Anasimyia lineata,246.00,348.00
Anasimyia lineata,249.00,345.00
Anasimyia lineata,249.30,380.80
Anasimyia lineata,249.50,345.30
Anasimyia lineata,250.30,381.50
Anasimyia lineata,250.60,380.50
Anasimyia lineata,251.00,198.00
Anasimyia lineata,251.20,198.00
Anasimyia lineata,251.30,197.80
Anasimyia lineata,254.00,336.00
Anasimyia lineata,255.00,336.00
Anasimyia lineata,255.30,198.90
Anasimyia lineata,255.40,198.90
Anasimyia lineata,255.90,274.80
Anasimyia lineata,265.00,341.00
Anasimyia lineata,276.00,800.00
Anasimyia lineata,277.00,367.00
Anasimyia lineata,277.50,367.70
Anasimyia lineata,277.80,370.20
Anasimyia lineata,283.00,75.00
Anasimyia lineata,283.30,75.00
Anasimyia lineata,288.00,356.00
Anasimyia lineata,292.00,358.50
Anasimyia lineata,293.00,858.00
Anasimyia lineata,300.00,357.00
Anasimyia lineata,311.80,500.50
Anasimyia lineata,319.00,248.00
Anasimyia lineata,319.30,248.20
Anasimyia lineata,323.40,308.40
Anasimyia lineata,330.10,181.70
Anasimyia lineata,331.00,335.00
Anasimyia lineata,334.40,243.00
Anasimyia lineata,334.50,242.70
Anasimyia lineata,335.00,444.00
Anasimyia lineata,341.50,142.30
Anasimyia lineata,342.00,186.00
Anasimyia lineata,342.00,414.00
Anasimyia lineata,342.30,140.50
Anasimyia lineata,342.80,140.80
Anasimyia lineata,343.60,184.60
Anasimyia lineata,344.50,144.50
Anasimyia lineata,345.30,144.40
Anasimyia lineata,346.00,535.00
Anasimyia lineata,347.00,477.00
Anasimyia lineata,347.40,143.50
Anasimyia lineata,347.40,476.40
Anasimyia lineata,347.80,475.10
Anasimyia lineata,348.10,475.50
Anasimyia lineata,348.30,475.00
Anasimyia lineata,348.50,547.80
Anasimyia lineata,349.20,476.10
Anasimyia lineata,350.00,434.00
Anasimyia lineata,351.00,434.00
Anasimyia lineata,352.00,751.00
Anasimyia lineata,354.00,345.00
Anasimyia lineata,365.10,372.20
Anasimyia lineata,367.00,507.00
Anasimyia lineata,367.20,507.60
Anasimyia lineata,367.80,507.60
Anasimyia lineata,368.00,507.00
Anasimyia lineata,379.05,382.74
Anasimyia lineata,379.10,382.17
Anasimyia lineata,379.27,381.20
Anasimyia lineata,380.30,382.03
Anasimyia lineata,380.52,382.13
Anasimyia lineata,380.76,382.10
Anasimyia lineata,387.00,227.00
Anasimyia lineata,388.00,227.00
Anasimyia lineata,390.50,396.00
Anasimyia lineata,392.00,88.00
Anasimyia lineata,402.00,85.00
Anasimyia lineata,402.60,290.80
Anasimyia lineata,410.00,274.00
Anasimyia lineata,428.00,273.00
Anasimyia lineata,433.00,355.00
Anasimyia lineata,433.30,414.10
Anasimyia lineata,436.00,381.00
Anasimyia lineata,436.70,114.90
Anasimyia lineata,441.00,384.00
Anasimyia lineata,447.00,381.00
Anasimyia lineata,450.50,483.20
Anasimyia lineata,452.00,268.00
Anasimyia lineata,452.60,340.20
Anasimyia lineata,453.00,339.00
Anasimyia lineata,453.10,340.40
Anasimyia lineata,457.00,390.00
Anasimyia lineata,465.00,469.00
Anasimyia lineata,468.50,104.50
Anasimyia lineata,471.00,444.00
Anasimyia lineata,472.00,414.00
Anasimyia lineata,475.80,414.70
Anasimyia lineata,483.00,255.00
Anasimyia lineata,485.70,484.90
Anasimyia lineata,486.30,134.40
Anasimyia lineata,491.50,140.20
Anasimyia lineata,494.30,374.00
Anasimyia lineata,496.60,368.00
Anasimyia lineata,502.00,115.00
Anasimyia lineata,505.70,114.50
Anasimyia lineata,511.00,362.00
Anasimyia lineata,512.00,296.00
Anasimyia lineata,512.70,164.40
Anasimyia lineata,519.60,359.50
Anasimyia lineata,520.30,357.20
Anasimyia lineata,521.00,188.00
Anasimyia lineata,521.00,271.00
Anasimyia lineata,522.00,187.00
Anasimyia lineata,528.70,141.60
